Id,Title,Text,Author,Date,URL
0,Posponen en Argentina el decreto para desregular la economía,"El presidente de Argentina, Javier Milei, y su equipo planean dejar atrás la semana que acaba de transcurrir, signada por los primeros pasos de la gestión y las medidas económicas anunciadas por el ministro de Economía Luis Caputo, para meterse de lleno en dos cuestiones que serán determinantes para este primer período de gestión presidencial: el envío de un extensísimo Decreto de Necesidad y Urgencia (DNU) y el llamado a sesiones extraordinarias para tratar la denominada Ley Ómnibus. El DNU que se planea implementar estaba previsto para la mañana del lunes; pero todavía se espera que el envío tarde unos días más. En tanto, la convocatoria a sesiones extraordinarias se viene postergando desde hace algunos días y las fuentes legislativas son prudentes al respecto de cuando se podrá realizar. Estiman que no habrá determinaciones hasta la reunión que Javier Milei, Guillermo Francos y Luis Caputo tendrán mañana con los gobernadores. Ambos paquetes, en tanto, están fechados para esta semana. ¿Estas se diferencian de las medidas tomadas por el titular del Palacio de Hacienda? Sí, enormemente. La semana pasada Caputo solamente inició el programa de acomodamiento de precios relativos y de convergencia de la brecha cambiaria; medidas de corte únicamente económico con vistas al achicamiento del déficit fiscal. En tanto, tanto el DNU como las legislaciones a debatir incluidas en la Ley Ómnibus son impulsadas como un fortísimo avance por la desregulación de diferencias áreas y ámbitos que comprenden al Estado. La primera comprende a aquellas cuestiones que ""no hacen falta ser debatidas en el Congreso y no hay problema en sacarlas por ese lado"", mientras que la segunda necesita ser puesta en debate en ambos recintos legislativos por cuestiones de constitucionalidad. Para facilitar el tratamiento, planean ""dividir ese ómnibus en tres combis"", ironizó una alta fuente: ordenadas de manera descendente en términos de la importancia que le da el equipo libertario, los paquetes refieren a cuestiones de modernización del Estado, otra económica y otra social. En los últimos días el principal eje de los expertos en derecho público y administrativo que revisan el paquete de ""Modernización del Estado"" gestado por Federico Sturzenegger es el constitucional. ""Es esto lo que trabó el impulso de estos paquetes en los últimos días, estamos revisando absolutamente todo"", indicó una fuente libertaria. Sobre esta última, el ministro de Economía ya reconoció en declaraciones públicas que el equipo del expresidente del BCRA durante la gestión de Mauricio Macri ya revisó cerca de 380,000 regulaciones del Estado, y que el equipo judicial del Estado está monitoreando la viabilidad de esas reformas. Se estima que el paquete enviado por DNU se trata de un tercio de las cuestiones planteadas en el paquete legislativo. Para ello es clave mirar quiénes son los especialistas designados en las áreas de revisión técnica. El decreto publicado en el Boletín Oficial oficializa a Marcos Serrano como el segundo en la Procuraduría del Tesoro.",El Cronista/Argentina,2023-12-19 00:09:00,https://www.eleconomista.com.mx/economia/Posponen-en-Argentina-el-decreto-para-desregular-la-economia-20231219-0004.html
1,Aumenta la confianza de los constructores de viviendas en EU,"La confianza de los constructores de viviendas estadounidenses aumentó en diciembre, lo que indica que la caída de las tasas de interés estaría mejorando las condiciones de venta para los promotores, quienes en los meses anteriores tuvieron dificultades para atraer a posibles compradores en medio de los costos de endeudamiento más elevados de las últimas dos décadas. El índice de la Asociación Nacional de Constructores de Viviendas/Wells Fargo (NAHB, por su sigla en inglés) mostró que la confianza de los constructores aumentó a 37 puntos en diciembre, frente a los 34 del mes anterior. Según una encuesta de Reuters, los economistas esperaban una lectura de 36 puntos. La confianza cayó en noviembre a su mínimo desde diciembre del 2022. Con el alza de las tasas, los constructores se han visto obligados a recortar los precios desde el verano en un esfuerzo por impulsar la asequibilidad. Según la Asociación de Banqueros Hipotecarios, la tasa fija promedio de una hipoteca a 30 años alcanzó en octubre 7.9%, el nivel más alto en dos décadas, antes de caer a 7.07% la semana pasada, en medio de señales de que el ciclo de alzas de tasas más agresivo de la Fed, desde los años 80, ha terminado y empezaría a recortarlas en el 2024. Durante el repunte de las tasas en los dos últimos años, los propietarios de viviendas que estaban atrapados en réditos más baratos tenían un elemento disuasorio para vender. Durante el primer semestre de este año, los compradores potenciales se volcaron en el mercado de obra nueva y el índice de tráfico de compradores de la NAHB alcanzó en julio su nivel más alto del año, con 40 puntos. En medio de un aumento final de las tasas en octubre, el tráfico de compradores disminuyó en noviembre y cayó a 21 puntos, la lectura más baja desde diciembre del 2022. El tráfico de posibles compradores repuntó hasta 24 puntos en diciembre. El porcentaje de constructores que rebajaron los precios en diciembre se mantuvo sin cambios en 36%, un empate respecto al mes pasado con el porcentaje más alto desde noviembre del 2022.",Reuters,2023-12-19 00:00:00,https://www.eleconomista.com.mx/economia/Aumenta-la-confianza-de-los-constructores-de-viviendas-en-EU-20231219-0001.html
2,Economía de China tendrá mejores condiciones,"Se espera que en el 2024 la economía de China presente condiciones más favorables, con más oportunidades que desafíos, afirmaron medios de comunicación estatales que citaron a funcionarios de la oficina de economía y finanzas del Partido Comunista Chino. Las políticas macroeconómicas seguirán proporcionando apoyo a la recuperación económica, dijo la agencia oficial Xinhua en una lectura detallada de la Conferencia Central de Trabajo Económico anual celebrada la semana pasada, durante la cual los máximos líderes establecieron objetivos económicos para el siguiente año. “Los precios de China son bajos, los niveles de deuda del gobierno central no son elevados y se dan las condiciones para reforzar la aplicación de las políticas monetaria y fiscal”, declaró Xinhua citando, a última hora del domingo, a la oficina de la Comisión Central de Asuntos Financieros y Económicos. Aun así, persisten los bloqueos en el ciclo económico nacional, ya que la demanda, el consumo y la inversión empresarial siguen siendo débiles. El año que viene, los responsables del partido dijeron que China intentará pasar de una recuperación post-pandémica a un crecimiento sostenido del consumo.",Reuters,2023-12-18 23:57:00,https://www.eleconomista.com.mx/economia/Economia-de-China-tendra-mejores-condiciones-20231218-0147.html
3,Fed recortaría las tasas cuatro veces en el 2024,"BofA Global Research espera que la Reserva Federal (Fed) realice cuatro recortes de tasas de 25 puntos base (pb), cada uno, el próximo año, siendo el primero en marzo. La correduría elevó su cuantía de recortes para el 2024 a 100 pb desde 75 pb y espera que el banco central estadounidense recorte las tasas en marzo, junio, septiembre y diciembre. También elevó la previsión de crecimiento económico de EU en un promedio trimestral de 0.6%, hasta 1.2%, para el próximo año, impulsado por un mayor gasto de los consumidores. “Los próximos datos apuntan a que la economía estadounidense disfrutaría simultáneamente de un crecimiento modesto y de desinflación”, aseguró Michael Gapen, economista de BofA para Estados Unidos. El giro moderado de la Fed en la reunión de política monetaria del mes actual provocó que se adelantara la fecha del primer recorte de tasas, añadió Gapen. Una serie de corredurías de Wall Street adelantaron la semana pasada sus expectativas sobre el primer recorte después de que el presidente de la Fed, Jerome Powell, señalara un posible final del endurecimiento de la política monetaria iniciada en el 2022.",Reuters,2023-12-18 23:51:00,https://www.eleconomista.com.mx/economia/Fed-recortaria-las-tasas-cuatro-veces-en-el-2024-20231218-0146.html
4,Una reforma fiscal podría acelerar la relocalización de empresas: IMCP,"Impulsar una reforma fiscal, que evite el aumento de impuestos o la creación de nuevos, puede acelerar el nearshoring, es decir, la relocalización de empresas en el país, indicó el Instituto Mexicano de Contadores Públicos (IMCP). Héctor Amaya, presidente del IMCP, indicó en conferencia de prensa que, una reforma fiscal que contemple deducciones o exenciones de impuestos, puede alentar las inversiones por nearshoring. Añadió que una reforma fiscal no necesariamente debe tener la creación de nuevos impuestos, o bien, el aumento de las tasas de los ya existentes, por lo que una reforma fiscal bien implementada ayudaría a agilizar trámites. “No quiere decir que por una nueva reforma fiscal vamos a pagar más impuestos, sino ayudar a algunas empresas en la deducción”. Asimismo, indicó que se debe buscar una reforma fiscal que fomente la formalización de los trabajadores, ya que actualmente hay una informalidad laboral en el país que ronda una tasa de 60 por ciento. “El país ha aguantado un buen tiempo con esta presión (de informalidad) y no podemos seguir así (...) Existen temas que nos están alcanzando, áreas de oportunidad en donde necesitamos trabajar, menciono tres, que a todos nos interesan: que son seguridad, salud y educación”, agregó. No obstante, Héctor Amaya agregó que la informalidad no se refiere directamente a no pagar impuestos ya que, incluso los trabajadores informales pagan impuestos como el IVA o el IEPS, pero no tienen una situación formal frente al IMSS y el Infonavit, por ejemplo. Por su parte, Rolando Silva, vicepresidente fiscal del IMCP, indicó que hay factores que pueden frenar el nearshoring, como el cambio climático y la inseguridad del país. No obstante, señaló que algunos cambios en materia laboral podrían ocasionar que las empresas tomen con más cautela relocalizarse en el país, como el incremento del salario mínimo o la nueva tabla de enfermedades, entre otros aspectos. Para el último año de gobierno de Andrés Manuel López Obrador, el IMCP prevé que habrá una mayor fiscalización generalizada para lograr las metas de recaudación propuestas. Agregó que el 2024 será un año “muy peculiar” ante las elecciones presidenciales no sólo en México, también en más de 70 países. En México, el fuerte crecimiento del cuarto trimestre de este año podría generar un crecimiento inercial en el primer trimestre del 2025, apoyado por el alto gasto fiscal en las obras del gobierno, así como el gasto social. “Sin embargo, la segunda mitad del año puede tener riesgos importantes derivados de la incertidumbre electoral, donde podríamos tener episodios de fuertes presiones cambiarias y contracción de la inversión directa y financiera”, advirtió el presidente del IMCP. ana.martinez@eleconomista.mx",Belén Saldívar,2023-12-18 15:16:00,https://www.eleconomista.com.mx/economia/Una-reforma-fiscal-podria-acelerar-el-nearshoring-IMCP-20231218-0067.html
5,Argentina declara emergencia de servicios energéticos y aumento de tarifas de luz y gas,"El Gobierno del presidente argentino Javier Milei declaró la emergencia del sector de transporte y distribución de electricidad y gas y brindó un marco para realizar una revisión de las tarifas para garantizar las inversiones en el sector, según un decreto publicado el lunes en el boletín oficial. La norma también incluye la intervención del Ente Nacional Regulador de la Electricidad (ENRE) y del Ente Nacional Regulador del Gas (ENARGAS) a partir del 1 de enero de 2024. Según el decreto, la prestación de los servicios de transporte y distribución de Gas y electricidad muestra una ""creciente obsolescencia"" de los activos de las empresas e insuficiencia adecuación a las necesidades de los usuarios por ""la falta de renovación de las redes y su ampliación"". Hasta que se apruebe la revisión tarifarias con la realización de audiencias públicas, las autoridades que intervendrán el ENRE y ENARGAS podrá aprobar aumentos de tarifas transitorios y ajustes periódicos para garantizar el normal funcionamiento de los servicios correspondientes, indicó el decreto que entró en vigencia al publicarse en el boletín oficial. Las tarifas de servicios públicos se han mantenido casi sin cambios en los últimos años, con el Estado subsidiando gran parte del consumo en un contexto de fuerte inflación y aumento de los niveles de pobreza. Esos subsidios, de unos 12,000 millones de dólares, mantienen las facturas de gas y electricidad por debajo del 15% del costo, según cálculos privados. Milei, un economista ultraliberal, dijo que su objetivo principal es eliminar el déficit fiscal que sufre el país y normalizar los precios de la economía, aunque eso podría agravar, en una primera instancia, la tasa de inflación que ronda el 200% anual.",Reuters,2023-12-18 08:01:00,https://www.eleconomista.com.mx/economia/Argentina-declara-emergencia-de-servicios-energeticos-y-aumento-de-tarifas-de-luz-y-gas-20231218-0031.html
6,Personas sin hogar en EU alcanzará cifra récord en el 2023,"Marcia L. Fudge, secretaria del Departamento de Vivienda y Desarrollo Urbano de EU. El número de personas sin hogar en Estados Unidos aumentó en el 2023 a niveles récord, de acuerdo con un informe gubernamental publicado el fin de semana. Más de 653,100 personas se quedaron sin hogar en todo el país en enero, según un recuento realizado para el Departamento de Vivienda y Desarrollo Urbano (HUD, por su sigla en inglés) de ese país. La cifra significa 70,650 personas sin hogar más (12%) que un año antes y la cifra más alta desde que se empezaron a recopilar datos en el 2007. Los afroamericanos representan 13% de la población total de Estados Unidos pero suponen 37% de todas las personas sin hogar, señaló el texto. El mayor aumento en el número de personas sin hogar se produjo entre las que se identifican como hispanas, con un incremento de 28% (39,106 personas) entre el 2022 y 2023. El número de familias con niños sin hogar aumentó en 16%, lo que invirtió una tendencia a la baja desde el 2012, según el informe. De las más de 653,100 personas sin hogar contabilizadas en enero, seis de cada 10 se encontraban en albergues u otros alojamientos temporales, mientras que cuatro de cada 10 estaban “en lugares no destinados a la habitación humana”. Según el informe, California tiene la mayor población de personas sin hogar con 181,399, seguida de Nueva York (103,200); Florida (30,756); el estado de Washington (28,036); Texas (27,377) y Oregon (20,142 personas). Según expertos, la crisis de los sin techo en Estados Unidos se debe a diversos factores como la pobreza, la salud mental, las adicciones y la escasez de vivienda. Marcia L. Fudge, secretaria de HUD, lamentó la situación y señaló que la falta de vivienda no debería existir en su país y que, pese al avance que su administración ha tenido desde el 2021, los datos “subrayan la urgente necesidad de apoyar soluciones y estrategias probadas que ayuden a las personas a salir rápidamente del sinhogarismo y que lo prevengan en primer lugar”. La funcionaria estadounidense destacó programas como la ampliación de la Ayuda de Emergencia al Alquiler, la mejora del Crédito Fiscal por Ingresos del Trabajo, entre otras. A diferencia de otros años, el aumento de personas en situación de calle en Estados Unidos ha estado impulsado por los aumentos en todas las poblaciones y grupos demográficos, explicó el viernes HUD, incluyendo familias con niños y veteranos sin vivienda. valores@eleconomista.mx",Agencias,2023-12-17 21:49:00,https://www.eleconomista.com.mx/economia/Personas-sin-hogar-en-EU-alcanzara-cifra-record-en-el-2023-20231217-0051.html
7,Ni en el 2025 la inflación estará en su objetivo puntual: Encuesta Banxico,"Especialistas del sector privado estiman que la inflación no llegará al objetivo puntual de 3% en el 2024 y ni siquiera en el 2025. De acuerdo con la última encuesta levantada por Banco de México (Banxico), dentro de dos años la variación anual del Índice Nacional de Precios al Consumidor (INPC) se ubicará en 3.65 por ciento. En la última encuesta del año, que se ha convertido en la última foto de las expectativas que tienen los especialistas sobre las variables económica, ajustaron a la baja su proyección de inflación para este año, a 4.44%, desde 4.57% estimado al arrancar el mes. Esta previsión es la más baja recabada por esta encuesta desde diciembre del año pasado y completó tres lecturas consecutivas en moderación desde 4.70% previsto en septiembre. Los especialistas esperan una fluctuación de 4.02% en la inflación esperada para el año próximo, desde 4.01% previsto el primer día de diciembre. Estas expectativas de inflación, para 2023, 2024, 2025 y todavía para 2026 se encuentran arriba de la meta puntual del 3%, aunque para el 2025 y el 2026, ya se encontraría dentro del intervalo permisible de +/-1 punto porcentual. Analistas de Franklin Templeton, Banco Base y Finamex explican que desde que Banxico determinó que el objetivo de inflación de largo plazo sea de 3%, en el 2002, se ha tocado en muy pocas ocasiones al objetivo puntual. Regularmente fluctúa alrededor de 4.3%, y ahora mismo, al haber llegado a esta variación, el riesgo está en los factores volátiles que han ayudado a moderarla. Según la información recabada por la encuesta, para la inflación subyacente, que incorpora sólo los bienes y servicios cuyos precios no están sujetos a ningún tipo de volatilidad estacional, prevén que promediará 5.11%, proyección que incorpora un ajuste desde 5.14% estimado por ellos mismos al iniciar diciembre y es la estimación más baja recabada en lo que va del año. La inflación subyacente es reconocida como la inflación más pura pues descuenta los precios más volátiles de la medición y funciona como guía para las decisiones monetarias de Banxico. En la última foto del año que tomó el Banco de México sobre las expectativas de los especialistas del sector privado, se observan también ajustes en las previsiones para la actividad económica, medición que se realiza a través del Producto Interno Bruto (PIB). Ahora estiman un crecimiento de 3.37% en el PIB de este año, que es similar al estimado en la encuesta de inicio de diciembre. Resulta la previsión más alta recabada en el transcurso del año que inició en 1 por ciento. La nueva previsión promedio del PIB que tienen los especialistas del sector privado está en línea con las expectativas revisadas por el la Organización para la Cooperación y el Desarrollo Económicos (OCDE) de 3.3%; y ligeramente arriba de la que tiene el Fondo Monetario Internacional (FMI) que es de 3.1%, y está dentro del rango estimado por Banco de México que está entre 3.1 y 3.5 por ciento. Para el PIB del año entrante, proyectan que la actividad económica conseguirá un crecimiento de 2.29% que se encuentra arriba del nivel esperado al iniciar diciembre, que era 2.18 por ciento. Esta previsión se encuentra lejos del supuesto que tiene el gobierno mexicano de 3%, según lo descrito por el presidente Andrés Manuel López Obrador. En el apartado de la encuesta sobre percepciones del clima de negocios que ofrece México, se completaron 26 meses consecutivos donde los especialistas identifican a la gobernanza como principal obstáculo para el crecimiento económico. Al interior, destacan dos factores: inseguridad pública y la ausencia de cambios estructurales. El primero, con 24% de las menciones corresponde a problemas de inseguridad pública; seguido por ausencia de cambios estructurales con 12% de las menciones, y el tercer lugar con 10% de las respuestas es la incertidumbre por la política interna. De acuerdo con los resultados, la proporción de entrevistados que considera que es un mal momento para invertir llegó a 20%, que contrasta con 47% que tenía esta percepción al iniciar el año. En esta ocasión, quedó en 37% la escala de los entrevistados que dijo no estar seguro si es oportuno este momento para realizar inversiones, que subió respecto de 38% recabado al iniciar diciembre y debajo de 42% recabado en enero. El año cierra, 43% de los especialistas consultados considera es un buen momento para invertir, con lo que se moderó la proporción que tenía este sentimiento el mes anterior que estaba en 44 por ciento. La encuesta de expectativas fue recabada entre el 6 y 13 de diciembre Entre 35 grupos de análisis y consultoría económica del sector privado nacional y extranjero. ymorales@eleconomista.com.mx",Yolanda Morales,2023-12-17 19:41:00,https://www.eleconomista.com.mx/economia/Ni-en-el-2025-la-inflacion-estara-en-su-objetivo-puntual-Encuesta-Banxico-20231217-0031.html
8,Hacienda mantendrá el refinanciamiento de la deuda; se dará prioridad al  mercado local,"La Secretaría de Hacienda y Crédito Público (SHCP) presentó el último Plan Anual de Financiamiento para el Gobierno de Andrés Manuel López Obrador, en donde el financiamiento se llevará principalmente en el mercado interno y se buscará continuar con el refinanciamiento para minimizar la carga de pagos de deuda de la siguiente administración. “El financiamiento del gobierno federal se centrará en el mercado interno, recurriendo a créditos externos sólo cuando las condiciones sean ventajosas. Se priorizará la deuda a tasa fija nominal y real a largo plazo, y se mantendrá la estrategia de refinanciamiento para disminuir los pagos de deuda para la siguiente administración”, destacó la dependencia a cargo de Rogelio Ramírez de la O. La estrategia de financiamiento de Hacienda para el 2024 busca continuar con la reducción de la exposición a la deuda externa, ello para blindar el portafolio ante posibles episodios de volatilidad, que podrían incrementar el monto en pesos de los créditos contratados en el extranjero. En este sentido, apuntó que se espera que el porcentaje de deuda bruta externa, respecto de la deuda bruta total, pase de 22.7% en el 2018 a 15.3% para el cierre de la administración. Respecto a la deuda interna, para el siguiente año se espera una participación de 79.6% de los valores a tasa fija nominal y real de largo plazo. El plazo promedio de vencimiento de la deuda interna será de 7.7 años y de 18.9 años para la deuda externa de mercado. “Las acciones implementadas permiten mitigar el incremento en el costo financiero. De acuerdo con los resultados del análisis de la sensibilidad, con un nivel de confianza de 0.95, se estima que este no se incrementará más de 3.7% con relación a su valor esperado”, explicó la SHCP. Al ser el último año de Gobierno, la dependencia busca continuar con su estrategia de refinanciamiento para que, en la siguiente administración, la presión por los pagos de la deuda sea menor. En la actual administración, añadió, se realizó el mayor ejercicio de refinanciamiento de deuda externa en la historia de México, por 15,000 millones de dólares de vencimientos de corto plazo. Dicho monto asciende a 27,000 millones de dólares si se consideran también las operaciones de mediano y largo plazo. “El Gobierno Federal continuará con esta política de refinanciamiento en el 2024 para disminuir las presiones de pago de deuda para la siguiente administración”. En este tenor, Hacienda destacó que con el fin de permitir una transición financiera ordenada se logró disminuir en 70% las amortizaciones de deuda externa de mercado programadas para el 2025. ana.martinez@eleconomista.mx",Belén Saldívar,2023-12-15 14:41:00,https://www.eleconomista.com.mx/economia/Hacienda-presenta-el-Plan-de-Financiamiento-2024-continuara-refinanciamiento-y-dara-prioridad-a-la-deuda-en-el-mercado-local-20231215-0068.html
9,Apple frena ventas de su Apple Watch,"Blue Origin regresará al espacio Nippon Steel adquirirá a U.S. Steel Reconocimiento a las mujeres Apple detendrá las ventas de su reloj inteligente, Apple Watch, en los próximos días mientras la compañía se prepara para cumplir con una prohibición de importación de Estados Unidos derivada de una resolución comercial federal sobre un sensor de oxígeno en sangre en algunas versiones del dispositivo. El fallo de octubre dio a la administración Biden 60 días para revisar la decisión, en la que la International Trade Commission de Estados Unidos encontró que Apple violó las patentes en la mayoría de los nuevos modelos de Apple Watch desde 2020. Apple dijo que detendrá las ventas de relojes para tomar medidas preventivas en caso de que el fallo se mantenga. La prohibición incluiría el Apple Watch Series 9 y el Apple Watch Ultra 2, dijo la compañía. La compañía espacial de Jeff Bezos está lista para regresar a volar después de un retraso de 15 meses, buscando reactivar sus esfuerzos por llevar turistas al espacio. Blue Origin, que el empresario multimillonario fundó hace más de dos décadas, planea llevar más de 30 experimentos científicos y de investigación al espacio en un vehículo llamado New Shepard no tripulado hoy. Una misión exitosa podría ayudar a la empresa a reanudar el transporte de pasajeros. Un fallo el año pasado durante una misión no tripulada paralizó las operaciones de su negocio de lanzamiento suborbital, una de las divisiones emblemáticas de la compañía. U.S. Steel acordó su compra por parte de Nippon Steel en un acuerdo por 14,100 millones de dólares que combinaría dos gigantes del acero en Estados Unidos y Japón. El acuerdo valora a U.S. Steel en 55 dólares por acción, una prima de 40% sobre el precio del cierre del viernes de las acciones de la compañía. Los títulos de U.S. Steel subieron 26% a 49.51 dólares en la Bolsa de Valores de Nueva York en las operaciones bursátiles del lunes. El acuerdo pone fin a un proceso de ventas de un mes de duración para la empresa de 122 años que fue creada por J.P. Morgan, Andrew Carnegie y otros, y que desempeñó un papel integral en la industrialización del país en el siglo XX. Tras el cierre de la transacción, U.S. Steel conservará su nombre, marca y sede en Pittsburgh. La medida convertiría a Nippon Steel en uno de los mayores productores de acero del mundo. La compañía japonesa ha enfrentado una demanda lenta en su mercado interno y pese a dicha situación, ha dicho que apunta a expandirse en el extranjero en diversas regiones --incluidos el Sudeste Asiático, India y Estados Unidos-- donde ve crecimiento. Este año ha sido clave en el posicionamiento de las mujeres a nivel empresarial, entre las cuales destaca Marcela Álvarez, CEO de Totalmente Reflejante, quien ha tenido una participación estratégica en lo relacionado con la construcción y obra pública. Totalmente Reflejante se dedica al señalamiento y balizamiento en carreteras del país y todas las vías de transporte, necesarios para evitar accidentes. De acuerdo con la Organización Panamericana de la Salud, el objetivo del decenio 2021-2030 para la región es lograr una reducción del 50% en lesiones y muertes por accidentes de tránsito. Las últimas estimaciones indican que hay aproximadamente 1.3 millones de muertes por accidentes de tránsito al año, esto significa que la reducción prevista será del orden de 650,000. accionesyreacciones@eleconomista.mx",Staff de Termómetro Económico,2023-12-19 00:25:00,https://www.eleconomista.com.mx/opinion/Apple-frena-ventas-de-su-Apple-Watch-20231218-0133.html
